Paper Link,Material,Formulation,Elastic Modulus,Yield Stress (Pa),Extensional Strain-to-Break (%),"Type (P = physical, C = covalent, S=Single molecule)","Method (A = Approximated, V = Value Provided)",Notes,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 3.0%,3.0 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,53,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 1.5%,1.5 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,54,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 0.6%,0.6 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,105,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305719301881,Aam-Gelatin-GAA Hydrogel,25-3.5-1.5 wt% Aam-Gelatin-GAA,40,,1050,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0: 10,0.06 wt%-0:10-85 wt% BAM/AM-PEI:PAM-water,,,2300,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,65% water,0.06 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,2700,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,70% water,0.06 wt%-1:9-70 wt% BAM/AM-PEI:PAM-water,,,3500,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,75% water,0.06 wt%-1:9-75 wt% BAM/AM-PEI:PAM-water,,,3700,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0.25: 9.75,0.06 wt%-0.25:9.75-85 wt% BAM/AM-PEI:PAM-water,,,3800,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0.5: 9.5,0.06 wt%-0.5:9.5-85 wt% BAM/AM-PEI:PAM-water,,,3900,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0.75: 9.25,0.06 wt%-0.75:9.25-85 wt% BAM/AM-PEI:PAM-water,,,4050,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 1: 9,0.06 wt%-1:9-85 wt% BAM/AM-PEI:PAM-water,,,4750,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 0.06%,0.06 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,5500,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,85% water,0.06 wt%-1:9-85 wt% BAM/AM-PEI:PAM-water,,,5700,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,80% water,0.06 wt%-1:9-80 wt% BAM/AM-PEI:PAM-water,,,6000,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-10,84.02 wt% water-10 wt% TTSBI,,,610,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA,85.88 wt% water,,,634,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-5,84.18 wt% water-5 wt% TTSBI,,,701,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,c TTSBI-2@Fe3+,,,721,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,d TTSBI-2@Fe3+-5,,,721,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,f TTSBI-2@Fe3+-12,,,752,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-2,85.74 wt% water-2 wt% TTSBI,,,756,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,e TTSBI-2@Fe3+-8,,,758,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-1,85.59 wt% water-1 wt% TTSBI,,,774,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720301801,Nanocomposite Hydrogels with c-CNF,0 mg/mL c-CNF,,,863,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720301801,Nanocomposite Hydrogels with c-CNF,37 mg/mL c-CNF,,,902,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305719301880,Aam-Gelatin Hydrogel,26.5-3.5 wt% Aam-Gelatin,33,,2018,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305719301879,Aam Hydrogel,30 wt% Aam,27,,2300,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,20 kDa 2%,1.9 kPa,,,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,6 kDa 5%,20.9 kPa,,,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,6 kDa 7.5%,47.7 kPa,,,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,6 kDa 20%,86.0 kPa,,,C,V,,
