Paper Link,Material,Formulation,Elastic Modulus,Yield Stress (Pa),Extensional Strain-to-Break (%),"Type (P = physical, C = covalent, S=Single molecule)","Method (A = Approximated, V = Value Provided)",Notes
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI7,Carbopol,0.1 wt%,,4.9,110,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI26,Whipped Frosting,--,,80,110,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI7,Silicone Oil-in-Water Emulsion,65-11.7 wt% oil-SDS,,2.1,120,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI9,Bentonite,7 wt%,,0.9,120,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI10,Bentonite,8 wt%,,4.9,120,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI14,Bentonite,12 wt%,,200,120,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI8,Carbopol,0.15 wt%,,29.9,130,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI7,Mineral Oil-in-Water Emulsion,65-11.7 wt% oil-SDS,,11,130,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI11,Bentonite,9 wt%,,14,130,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI17,Laponite,5 wt%,,200,130,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI12,Bentonite,10 wt%,,31,140,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI13,Bentonite,11 wt%,,78,140,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI16,Laponite,4 wt%,,100,140,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI10,Carbopol,0.25 wt%,,90,150,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI8,Mineral Oil-in-Water Emulsion,75-8.3 wt% oil-SDS,,70,150,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI11,Carbopol,0.5 wt%,,100,153,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI9,Carbopol,0.2 wt%,,80,160,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI15,Laponite,3 wt%,,34.64,160,P,A,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI8,Silicone Oil-in-Water Emulsion,70-10 wt% oil-SDS,,5.2,170,P,A,
