Paper Link,Material,Formulation,Elastic Modulus,Yield Stress (Pa),Extensional Strain-to-Break (%),"Type (P = physical, C = covalent, S=Single molecule)","Method (A = Approximated, V = Value Provided)",Notes,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,,,0.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,,,0.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,,,1.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,,,1.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{1-phenyl-2-[4-(trimethylsilyl)phenyl]acetylene},--,,,1.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly[(2-ethynylphenyl)(trimethyl)germane],--,,,1.6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{[2-(trifluoromethyl)phenyl]acetylene},--,,,1.7,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,,,2,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,,,2,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,,,2,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{1-phenyl-2-[3-(trimethylsilyl)phenyl]acetylene},--,,,2.1,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polymethylmethacrylate (PMMA),100.1 M,,7,2.3,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly(1-{2-[(trimethylsilyl)methyl]phenyl}ethene-1,2-diyl)",--,,,2.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polystyrene (PS),104.2 M,,17.5,2.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[bis(2-oxodibenzo[c,e][1,2]oxaphoshinin-2-yl)methylene]dianiline}-alt-(terephthalic acid))",--,,,3.7,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly{[4,4′-(9H-fluorene-9,9-diyl)dianiline]-alt-[5,5′-carbonylbis(isobenzofuran-1,3-dione)]}",--,,,3.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((m-phenylenediamine)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,,,4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{[o-(trimethylsilyl)phenyl]acetylene},--,,,4.3,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly{[4,4′-(9H-fluorene-9,9-diyl)dianiline]-alt-[5,5′-carbonylbis(isobenzofuran-1,3-dione)]}",--,,,4.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((3,4′-oxydianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,,,5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((3,4′-oxydianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,,,5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(1,4-phenylenedioxy)dianiline]-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,,,5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-methylenedianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[sulfonylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-oxydianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-methylenedianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-methylethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-(trifluoromethyl)-2,2,2-trifluoroethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-(trifluoromethyl)-2,2,2-trifluoroethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2,2′-dimethylbiphenyl-4,4′-diyldioxy)dianiline]-alt-{5,5′-[4-tert-butylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2-tert-butyl-1,4-phenylenedioxy)dianiline]-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([2,2′-bis(trifluoromethyl)benzidine]-alt-{5,5′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-[6,6′-bis(4-tertbutylphenyl)biphenyl-3,3′,4,4′-tetracarboxylic anhydride])",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(2,2′-dimethylbiphenyl-4,4′-diyldioxy)dianiline]-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[adamantane-2,2-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[cyclododecane-1,1-diylbis(4,1-phenylene)]bis(isobenzofuran-1,3-dione)})",--,,,6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-methylethane-1,1-diylbis(2,6-dimethyl-4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,,,6.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly[1-(4-butylphenyl)-2-phenylacetylene],--,,,6.6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[(bicyclo[2.2.1]heptane-2,2-diyl)bis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,,,6.8,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[4-(tert-butyl)cyclohexane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5′-[4-phenylcyclohexane-1,1-diylbis(4,1-phenyleneoxy)]diisobenzofuran-1,3-dione})",--,,,6.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polyimide,218.5 M,,5.88,7,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(1,4-phenylenedioxy)dianiline]-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,,,7,S,V,elongation at break,
