Paper Link,Material,Formulation,Elastic Modulus,Yield Stress (Pa),Extensional Strain-to-Break (%),"Type (P = physical, C = covalent, S=Single molecule)","Method (A = Approximated, V = Value Provided)",Notes,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 0.06%,0.06 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,5500.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 0.6%,0.6 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,105.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 1.5%,1.5 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,54.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,BAM/AM 3.0%,3.0 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,53.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,65% water,0.06 wt%-1:9-65 wt% BAM/AM-PEI:PAM-water,,,2700.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,70% water,0.06 wt%-1:9-70 wt% BAM/AM-PEI:PAM-water,,,3500.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,75% water,0.06 wt%-1:9-75 wt% BAM/AM-PEI:PAM-water,,,3700.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,80% water,0.06 wt%-1:9-80 wt% BAM/AM-PEI:PAM-water,,,6000.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,85% water,0.06 wt%-1:9-85 wt% BAM/AM-PEI:PAM-water,,,5700.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0: 10,0.06 wt%-0:10-85 wt% BAM/AM-PEI:PAM-water,,,2300.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0.25: 9.75,0.06 wt%-0.25:9.75-85 wt% BAM/AM-PEI:PAM-water,,,3800.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0.5: 9.5,0.06 wt%-0.5:9.5-85 wt% BAM/AM-PEI:PAM-water,,,3900.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 0.75: 9.25,0.06 wt%-0.75:9.25-85 wt% BAM/AM-PEI:PAM-water,,,4050.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720302156,PEI: PAM 1: 9,0.06 wt%-1:9-85 wt% BAM/AM-PEI:PAM-water,,,4750.0,C,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720301801,Nanocomposite Hydrogels with c-CNF,0 mg/mL c-CNF,,,863.0,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0927775720301801,Nanocomposite Hydrogels with c-CNF,37 mg/mL c-CNF,,,902.0,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA ,85.88 wt% water,,-,634.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-1,85.59 wt% water-1 wt% TTSBI,,-,774.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-2,85.74 wt% water-2 wt% TTSBI,,-,756.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-5,84.18 wt% water-5 wt% TTSBI,,-,701.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA/TTSBI-10,84.02 wt% water-10 wt% TTSBI,,-,610.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,c TTSBI-2@Fe3+,,-,721.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,d TTSBI-2@Fe3+-5,,-,721.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,e TTSBI-2@Fe3+-8,,-,758.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0032386119311516#appsec1,PVA Nanocomposite,f TTSBI-2@Fe3+-12,,-,752.0,C,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0268005X19312597,BSG:WPI,1:0 BSG:WPI at 25ºC,,0.61,--,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0268005X19312597,BSG:WPI,1:0 BSG:WPI at 80ºC,,0.42,--,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0268005X19312597,BSG:WPI,1:4 BSG:WPI at 25ºC,,0.36,--,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0268005X19312597,BSG:WPI,1:4 BSG:WPI at 80ºC,,0.23,--,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0268005X19312597,BSG:WPI,1:9 BSG:WPI at 25ºC,,0.12,--,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0268005X19312597,BSG:WPI,1:9 BSG:WPI at 80ºC,,0.13,--,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305719301879,Aam Hydrogel,30 wt% Aam,27.0,--,2300.0,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305719301880,Aam-Gelatin Hydrogel,26.5-3.5 wt% Aam-Gelatin,33.0,--,2018.0,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305719301881,Aam-Gelatin-GAA Hydrogel,25-3.5-1.5 wt% Aam-Gelatin-GAA,40.0,--,1050.0,C,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI25,Nutella,--,,34.64,320.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI20,Xanthan Gum,5 wt%,,22.00,240.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI19,Xanthan Gum,4 wt%,,21.00,220.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI10,Silicone Oil-in-Water Emulsion,80-6.7 wt% oil-SDS,,58.00,204.9,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI18,Xanthan Gum,2 wt%,,10.00,203.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI9,Silicone Oil-in-Water Emulsion,75-8.3 wt% oil-SDS,,24.49,200.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI8,Silicone Oil-in-Water Emulsion,70-10 wt% oil-SDS,,5.20,170.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI9,Carbopol,0.2 wt%,,80.00,160.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI15,Laponite,3 wt%,,34.64,160.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI11,Carbopol,0.5 wt%,,100.00,153.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI10,Carbopol,0.25 wt%,,90.00,150.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI8,Mineral Oil-in-Water Emulsion,75-8.3 wt% oil-SDS,,70.00,150.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI12,Bentonite,10 wt%,,31.00,140.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI13,Bentonite,11 wt%,,78.00,140.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI16,Laponite,4 wt%,,100.00,140.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI8,Carbopol,0.15 wt%,,29.90,130.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI7,Mineral Oil-in-Water Emulsion,65-11.7 wt% oil-SDS,,11.00,130.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI11,Bentonite,9 wt%,,14.00,130.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI17,Laponite,5 wt%,,200.00,130.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI7,Silicone Oil-in-Water Emulsion,65-11.7 wt% oil-SDS,,2.10,120.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI9,Bentonite,7 wt%,,0.90,120.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI10,Bentonite,8 wt%,,4.90,120.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI14,Bentonite,12 wt%,,200.00,120.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI7,Carbopol,0.1 wt%,,4.90,110.0,P,A,,
https://sor.scitation.org/doi/pdf/10.1122/1.5003841?casa_token=zkW1eMydfNkAAAAA:XfotBNny8bzf6FCBcVkJ7h3NqETzijm8Nw1axx7PzwoqkpGUwfD8z7KCGkGp3wkUtzUtCdGKPNI26,Whipped Frosting,--,,80.00,110.0,P,A,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-1%/THEOS-0.18 mol/L,1 wt%-0.18 mol/L CMCD-THEOS,2.3,,28.9,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-1%/THEOS-0.36 mol/L,1 wt%-0.36 mol/L CMCD-THEOS,2.9,,25.5,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-1%/THEOS-0.54 mol/L,1 wt%-0.54 mol/L CMCD-THEOS,11.2,,19.3,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-0.2%/THEOS-0.73 mol/L,0.2 wt%-0.73 mol/L CMCD-THEOS,6.3,,17.0,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-0.5%/THEOS-0.73 mol/L,0.5 wt%-0.73 mol/L CMCD-THEOS,14.6,,14.3,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-1%/THEOS-0.73 mol/L,1 wt%-0.73 mol/L CMCD-THEOS,23.2,,14.1,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-1.5%/THEOS-0.73 mol/L,1.5 wt%-0.73 mol/L CMCD-THEOS,23.9,,14.1,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-2%/THEOS-0.73 mol/L,2 wt%-0.73 mol/L CMCD-THEOS,22.2,,14.0,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0144861719312469,CMCD-1%/THEOS-1.10 mol/L,1 wt%-1.10 mol/L CMCD-THEOS,30.9,,14.0,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0377025718301459,LCC Gel,0.1-0.029 wt% carbopol-NaOH,,5.40,,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0377025718301459,MCC Gel,0.12-0.035 wt% carbopol-NaOH,,8.40,,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,20 kDa 2%,1.9 kPa,,,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,6 kDa 5%,20.9 kPa,,,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,6 kDa 7.5%,47.7 kPa,,,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S174270611830312X,PEGDA,6 kDa 20%,86.0 kPa,,,C,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0377025718301459,HCC,0.15-0.043 wt% carbopol-NaOH,,13.70,,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S1226086X16303963,,0.65-0.65 wt% Chitosan-Xantham,,,,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S1226086X16303963,,0.65-0.65 wt% Chitosan-Xantham,,,,P,V,,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305718314691,CNF 1%,1 wt% cellulose nanofibrils,,0.10,,P,V,critical stress,CaBER
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305718314691,CNF 1.5%,1.5 wt% cellulose nanofibrils,,0.60,,P,V,critical stress,CaBER
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305718314691,CNF 2%,2 wt% cellulose nanofibrils,,1.20,,P,V,critical stress,CaBER
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0014305718314691,Guar Gum,--,,3.00,,P,V,critical stress,CaBER
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polyethylene (LDPE),28.05 M,,1.57,800.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polyethylene (HDPE),28.05 M,,4.05,600.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polypropylene (PP),42.08 M,,8.00,400.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polycarbonate (PC),228.29 M,,12.20,110.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polystyrene (PS),104.2 M,,17.50,2.5,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polytetrafluoroethylene (PTFE),100.02 M,,4.80,400.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Poly(vinylidene fluoride) (PVDF),64.04 M,,4.61,50.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polyvinyl chloride (PVC),62.5 M,,4.28,30.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polyimide,218.5 M,,5.88,7.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polymethylmethacrylate (PMMA),100.1 M,,7.00,2.3,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Polyacetal,30 M,,5.87,12.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Nylon 66,116.21 M,,3.07,200.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Nylon 6,113.2 M,,3.00,300.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,PBT,90.121 M,,5.03,100.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,PEEK,287.5 M,,7.33,21.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0167577X20308843,Poly(phenylene oxide),221.15 M,,3.13,75.0,S,V,yield stress estimated by vickers hardness = 3*yield stress; elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,--,--,0.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,--,--,2.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,--,--,2.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,--,--,2.0,S,V,elongation at break,
