File Number	Composition	Strain Rate	Trial	File Name	Stretch (mm)	STB	Original Filament Diameter (mm)	Original Cross Sectional Area (mm)	Scale (p/mm)	Notes	Avg Stretch	STD Stretch	Avg STB	STD STB	Avg C-S Area
9016	1-0.25	06	1	1_0.25_HPMCC12_PEGPLA_SR06_trial1	5.695	42.375	4.78	17.9450914	7.8148	didn't say trial, infered	5.922	.197	48.042	4.918	15.469
9020			2	1_0.25_HPMCC12_PEGPLA_SR06_trial2	6.048	51.2	4.086	13.11253336	8.0017						
9025			3	1_0.25_HPMCC12_PEGPLA_SR06_trial3	6.022	50.55	4.421	15.35079638	7.7504						
9017	1-0.25	18	1	1_0.25_HPMCC12_PEGPLA_SR18_trial1	7.022	75.55	4.054	12.90795284	7.8335	didn't say trial, infered	7.53	1.317	88.242	32.926	12.089
9021			2	1_0.25_HPMCC12_PEGPLA_SR18_trial2	9.025	125.625	3.808	11.38895195	7.8135						
9026			3	1_0.25_HPMCC12_PEGPLA_SR18_trial3	6.542	63.55	3.904	11.97042305	7.876						
9018	1-0.25	36	1	1_0.25_HPMCC12_PEGPLA_SR36_trial1	13.232	230.8	5.061	20.11696943	7.9375	didn't say trial, infered	12.074	1.967	201.842	49.186	17.304
9022			2	1_0.25_HPMCC12_PEGPLA_SR36_trial2	13.187	229.675	4.47	15.69296216	8.1671						
9028			3	1_0.25_HPMCC12_PEGPLA_SR36_trial3	9.802	145.05	4.528	16.1028489	8.0625	didn't say anything, specs infered					
9019	1-0.25	72	1	1_0.25_HPMCC12_PEGPLA_SR72_trial1	15.571	289.275	3.57	10.00982105	8.1252	didn't say trial, infered	15.966	2.225	299.158	55.637	12.896
9023			2	1_0.25_HPMCC12_PEGPLA_SR72_trial2	18.363	359.075	4.379	15.06051322	7.9167						
9029			3	1_0.25_HPMCC12_PEGPLA_SR72_trial3	13.965	249.125	4.164	13.61793707	8.1667	didn't say anything, specs infered					
9030	1-1	06	1	1_1_HPMCC12_PEGPLA_SR06_trial1	13.763	244.075	6.301	31.18234991	7.75		16.024	1.984	300.6	49.603	35.129
9034			2	1_1_HPMCC12_PEGPLA_SR06_trial2	16.834	320.85	6.112	29.33976105	7.7523						
9038			3	1_1_HPMCC12_PEGPLA_SR06_trial3	17.475	336.875	7.558	44.86458517	7.1253						
9031	1-1	18	1	1_1_HPMCC12_PEGPLA_SR18_trial1	18.002	350.05	5.979	28.07675991	8.0004		18.485	3.19	362.125	79.751	32.126
9035			2	1_1_HPMCC12_PEGPLA_SR18_trial2	21.889	447.225	6.56	33.7985104	7.5852						
9039			3	1_1_HPMCC12_PEGPLA_SR18_trial3	15.564	289.1	6.628	34.50284291	7.5833						
9032	1-1	36	1	1_1_HPMCC12_PEGPLA_SR36_trial1	16.93	323.25	5.893	27.27487466	8.0627		17.068	.14	326.708	3.501	31.585
9036			2	1_1_HPMCC12_PEGPLA_SR36_trial2	17.21	330.25	6.227	30.45422926	7.75						
9040			3	1_1_HPMCC12_PEGPLA_SR36_trial3	17.065	326.625	6.866	37.02520566	7.5019						
9033	1-1	72	1	1_1_HPMCC12_PEGPLA_SR72_trial1	19.652	391.3	6.108	29.30137079	7.6685		18.743	1.129	368.583	28.233	31.469
9037			2	1_1_HPMCC12_PEGPLA_SR72_trial2	19.099	377.475	6.452	32.69479351	7.75						
9041			3	1_1_HPMCC12_PEGPLA_SR72_trial3	17.479	336.975	6.424	32.41163548	7.6667						
9055	1-3	06	1	1_3_HPMCC12_PEGPLA_SR06_trial1	15.737	293.425	6.858	36.93897523	7.5833	redo	16.364	3.628	309.108	90.698	23.946
9047			2	1_3_HPMCC12_PEGPLA_SR06_trial2	13.091	227.275		0	7.3333						
9051			3	1_3_HPMCC12_PEGPLA_SR06_trial3	20.265	406.625	6.666	34.89960407	7.5005						
9056	1-3	18	1	1_3_HPMCC12_PEGPLA_SR18_trial1	18.82	370.5	7.822	48.05355304	7.3333	redo	15.963	2.531	313.668	63.266	41.272
9048			2	1_3_HPMCC12_PEGPLA_SR18_trial2	13.82	245.5	9.069	64.59645503	7.3338						
9052			3	1_3_HPMCC12_PEGPLA_SR18_trial3	17.0001	325.0025		0	7.3338						
9010			4	1_3_HPMCC12_PEGPLA_SR18_trial4	14.211	255.275	8.171	52.43729766	7.0838						
